Код на валута,нещо,СП-Купува,СП-Продава,Купени-процент,Продадени-процент,Обем купени,Обем продадени,КП-Купува,КП-Продава
Общо в EUR,,,,49.34,50.66,1 015 047 408,1042334569.0,1.95539,1.95612
EUR,1,1.95559,1.95600,47.50,48.50,977 284 666,997822719.0,1.95559,1.95600
CAD,1,1.33040,1.33068,0.99,1.00,29 922 320,30310644.0,1.95316,1.95358
HUF,1000,,5.40138,0.00,0.00,,25067096.0,,2.06333
USD,1,1.78952,1.80378,0.69,0.98,15 509 003,21957147.0,1.94610,1.96163
JPY,100,,1.23167,0.00,0.00,,10620400.0,,1.98163
RON,10,3.90278,3.93802,0.01,0.07,1 508 039,6663342.0,1.94249,1.96003
PLN,10,4.26763,4.52372,0.00,0.02,12 432,2051002.0,1.87733,1.98998
DKK,10,2.56491,2.63542,0.00,0.01,42 800,1682248.0,1.91267,1.96525
CZK,100,7.74639,8.17667,0.00,0.00,74 364,1300672.0,1.91599,2.02242
GBP,1,2.27590,2.30853,0.13,0.04,2 246 317,659946.0,1.95212,1.98047
CHF,1,2.05527,2.08992,0.01,0.03,132 994,589945.0,1.93832,1.97113
SEK,10,1.68331,1.74974,0.00,0.00,212 180,419171.0,1.91291,1.98767
AUD,1,,1.19882,0.00,0.00,,45685.0,,1.98753
TRY,100,5.75810,6.31451,0.00,0.00,2 810,37367.0,1.88785,2.07002
NOK,10,1.67982,1.75539,0.00,0.00,305 689,3190.0,1.92272,2.00922
* Обемът на сделките между банките и на банките с БНБ е представен в двоен размер – като покупка от едната страна и продажба от другата.,,,,,,,,,
